Operating Point Analysis Results:
Quiescent Current (I_Q): 9.98 uA
Power Consumption: 17.96 uW

Detailed Node Voltages:
m.xx1.xa30.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xa30.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xa30.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xa33.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xa33.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xa33.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xa34.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xa34.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xa34.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xb31.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xb31.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xb31.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xb32.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xb32.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xb32.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xb33.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xb33.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xb33.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xb34.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xb34.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xb34.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xa35.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xa35.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xa35.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xa36.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xa36.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xa36.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xa37.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xa37.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xa37.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xa38.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xa38.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xa38.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xb35.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xb35.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xb35.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xb36.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xb36.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xb36.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xb37.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xb37.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xb37.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xb38.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xb38.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xb38.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xa39.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xa39.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xa39.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xa40.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xa40.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xa40.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xa41.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xa41.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xa41.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xa42.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xa42.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xa42.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xb39.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xb39.msky130_fd_pr__pfet_01v8#body: 1.80000 V
